Time,Voltage,Temp,Current,LatitudeDegrees,LongitudeDegrees,AltitudeMeters,DistanceMeters,HeartRateBpm,Cadence,Speed
02:47:26,38.115,27.74,0.02,1.34247192,103.68044825,43.172,0.0,0,0,0.0
02:47:27,38.115,27.73,0.02,1.34247794,103.68045294,43.1976,0.0,0,0,0.0
02:47:28,38.115,27.75,0.0,1.34248384,103.68045791,43.21807999999999,1.1170000000000044,0,0,0.4996976845784185
02:47:29,38.115,27.75,0.0,1.34248908,103.68046178,43.234464,3.350999999999999,0,0,1.814128469468676
02:47:30,38.115,27.72,0.02,1.34249506,103.68046476,43.2475712,6.701999999999998,0,0,3.1251584699453554
02:47:31,38.115,27.77,0.05,1.3425039,103.68046736,43.25805696,22.33999999999999,0,0,3.1251584699453554
02:47:33,37.825,27.75,3.78,1.34252574,103.6804684,43.246445568,50.265,0,9,3.1251584699453554
02:47:34,37.82,27.77,3.42,1.34254474,103.68044788,43.2371564544,81.54100000000001,0,39,12.759611155378488
02:47:35,37.98,27.77,1.61,1.34255983,103.68041382,43.22972516352,112.81700000000002,0,54,12.759611155378488
02:47:36,37.92,27.74,2.34,1.34256973,103.68038796,43.223780130816,144.09300000000002,0,54,12.759611155378488
02:47:37,37.84,27.81,3.24,1.34258507,103.68036591,43.2190241046528,174.252,0,54,12.759611155378488
02:47:38,37.825,27.83,3.32,1.34260789,103.68034774,43.21521928372224,204.411,0,49,30.336754420432214
02:47:39,37.845,27.86,2.86,1.3426327,103.68033203,43.212175426977794,263.612,0,39,28.73334106280193
02:47:40,37.9,27.87,3.04,1.34265982,103.68030929,43.20974034158224,263.612,0,39,28.73334106280193
02:47:41,37.8,27.87,3.2,1.3426754,103.68029338,43.2077922732658,293.771,0,42,30.91372972972973
02:47:42,37.89,27.91,2.66,1.34269236,103.68027324,43.20623381861264,355.206,0,42,30.36658407079646
02:47:43,37.86,27.91,2.58,1.34270999,103.68025313,43.20498705489011,355.206,0,39,30.36658407079646
02:47:44,37.805,27.93,3.1,1.34273608,103.68022623,43.20398964391209,416.641,0,39,30.82446968238691
02:47:45,37.855,27.95,2.81,1.34274794,103.68021517,43.20319171512967,447.917,0,41,31.003508228460788
02:47:47,37.88,27.99,2.28,1.34277727,103.68019479,43.202553372103736,478.076,0,41,30.63771428571428
02:47:48,37.855,27.99,2.56,1.34281137,103.68018336,43.20204269768299,509.3519999999999,0,30,30.79483076923077
02:47:49,37.835,28.03,2.11,1.34284211,103.68018731,43.2016341581464,539.511,0,32,30.82117365269461
02:47:50,37.845,28.02,2.63,1.34286458,103.68019858,43.20130732651712,570.7869999999999,0,32,31.003508228460788
02:47:51,37.855,28.02,2.21,1.34288308,103.68022452,43.20104586121369,633.3389999999998,0,32,30.82446968238691
02:47:52,37.89,28.04,1.99,1.34289182,103.68025378,43.20083668897096,633.3389999999998,0,32,30.82446968238691
02:47:53,37.79,28.04,2.9,1.34289516,103.68027236,43.20066935117677,663.4979999999998,0,33,31.06923138832998
02:47:54,37.84,28.05,3.1,1.34289167,103.68029007,43.20053548094142,726.0499999999997,0,33,31.124027210884357
02:47:55,37.79,28.04,2.94,1.34288217,103.68031969,43.20042838475314,726.0499999999997,0,29,31.124027210884357
02:47:56,37.86,28.07,2.41,1.34287435,103.68033466,43.20034270780251,756.2089999999997,0,29,30.51661660079051
02:47:57,37.82,28.07,3.21,1.34285535,103.68035309,43.20027416624201,786.3679999999997,0,33,30.36658407079646
02:47:58,37.79,28.06,3.16,1.34283819,103.68036998,43.20021933299361,847.8029999999997,0,33,30.443558935361214
02:47:59,37.84,28.03,2.94,1.3428198,103.68039224,43.20017546639489,877.9619999999996,0,44,30.336754420432214
02:48:00,37.8,28.03,2.08,1.34279572,103.68042021,43.20014037311592,908.1209999999998,0,44,30.396472440944883
02:48:01,37.79,28.01,3.41,1.34278426,103.6804338,43.20011229849273,938.28,0,38,30.159
02:48:03,37.825,28.02,2.94,1.34276725,103.68045476,43.20008983879419,968.439,0,35,29.896240077444336
02:48:04,37.76,28.05,2.88,1.34274353,103.68047919,43.20007187103536,998.598,0,35,30.546801186943625
02:48:05,37.82,28.05,3.39,1.34272319,103.68049752,43.200057496828286,1028.757,0,38,30.247616062683644
02:48:06,37.775,28.06,3.21,1.3427028,103.68051366,43.20004599746263,1058.9160000000002,0,36,30.426419704433496
02:48:07,37.85,28.05,2.43,1.34268304,103.68052993,43.20003679797011,1090.1920000000002,0,36,30.82446968238691
02:48:08,37.81,28.06,2.56,1.34266597,103.68054743,43.200029438376085,1120.3510000000003,0,36,30.60734985133796
02:48:09,37.805,28.07,3.34,1.34264647,103.68056333,43.20002355070087,1151.6270000000004,0,36,30.38579127134725
02:48:10,37.785,28.07,3.11,1.34262961,103.68058027,43.200018840560695,1181.7860000000005,0,36,30.48649160908193
02:48:11,37.805,28.07,3.05,1.34261104,103.68059589,43.20001507244856,1242.1040000000007,0,36,30.48649160908193
02:48:12,37.79,28.06,3.17,1.34258757,103.68061902,43.20001205795885,1242.1040000000007,0,40,30.48649160908193
02:48:13,37.79,28.07,3.2,1.34257391,103.68063268,43.94000964636708,1302.422000000001,0,40,29.896240077444336
02:48:14,37.75,28.11,3.37,1.34256134,103.68064758,44.53200771709366,1331.4640000000009,0,39,29.620525896414343
02:48:15,37.81,28.07,3.44,1.34254707,103.68066448,45.00560617367493,1361.623000000001,0,39,29.609603068072865
02:48:16,37.745,28.11,3.16,1.34252901,103.68068578,45.38448493893994,1391.782000000001,0,30,30.218019569471625
02:48:17,37.755,28.08,3.73,1.34250908,103.68071012,45.68758795115195,1391.782000000001,0,30,30.218019569471625
02:48:19,37.79,28.05,3.15,1.34249726,103.68072498,45.93007036092156,1453.2170000000012,0,34,31.0335503875969
02:48:20,37.845,28.04,2.37,1.34248137,103.6807438,46.12405628873724,1484.4930000000013,0,33,30.94359806763285
02:48:21,37.85,28.04,2.42,1.34247195,103.68075372,46.27924503098979,1514.6520000000014,0,33,30.396472440944883
02:48:22,37.78,28.02,2.73,1.34246543,103.68076098,46.40339602479183,1544.8110000000015,0,31,30.247616062683644
02:48:23,37.795,28.0,3.28,1.34245117,103.68077524,46.50271681983346,1574.9700000000016,0,31,30.426419704433496
02:48:24,37.775,28.01,3.26,1.34243255,103.68079361,46.582173455866766,1605.1290000000015,0,29,30.396472440944883
02:48:25,37.815,27.99,2.98,1.34241635,103.68080888,46.64573876469341,1666.564000000002,0,29,30.396472440944883
02:48:26,37.76,27.98,2.86,1.34243311,103.68083754,46.69659101175473,1666.564000000002,0,29,30.396472440944883
02:48:27,37.815,27.99,3.17,1.34242822,103.68085903,46.73727280940378,1727.999000000002,0,30,30.851964035964038
02:48:28,37.8,27.97,2.55,1.3424026,103.68087477,46.76981824752302,1760.392000000002,0,30,31.470998102466798
02:48:29,37.81,27.96,2.65,1.34237628,103.68086535,46.795854598018416,1760.392000000002,0,27,31.470998102466798
02:48:30,37.81,27.99,2.24,1.34234382,103.68083995,46.816683678414726,1820.7100000000023,0,27,30.100210526315788
02:48:31,37.8,27.98,2.92,1.34231564,103.68080663,46.83334694273178,1850.8690000000024,0,38,29.780921890067503
02:48:32,37.745,27.97,3.57,1.34229825,103.68078285,46.84667755418542,1879.9110000000023,0,38,29.94864853977845
02:48:33,37.79,27.98,3.45,1.34228605,103.68076345,46.097342043348334,1910.0700000000024,0,32,29.468335877862597
02:48:35,37.73,28.01,3.25,1.34226889,103.68073413,45.49787363467867,1937.9950000000024,0,32,28.71004016064257
02:48:36,37.73,28.0,3.32,1.3422621,103.68070819,45.01829890774293,1965.9200000000028,0,40,27.870565302144247
02:48:37,37.735,28.06,3.47,1.34226442,103.68069148,44.63463912619434,1996.079000000003,0,35,29.896240077444336
02:48:38,37.75,28.05,3.39,1.34227512,103.68067958,44.32771130095547,2026.238000000003,0,35,30.218019569471625
02:48:39,37.74,28.04,3.7,1.34228998,103.68066712,44.08216904076438,2056.397000000003,0,41,30.129576585365847
02:48:40,37.765,28.04,1.95,1.3423064,103.6806455,43.8857352326115,2085.439000000003,0,41,28.56773102785783
02:48:41,37.745,28.03,3.36,1.34235048,103.68061334,43.7285881860892,2115.598000000003,0,31,30.60734985133796
02:48:42,37.79,28.02,2.79,1.34237562,103.68059363,43.60287054887136,2177.033000000003,0,31,30.336754420432214
02:48:43,37.775,28.04,2.58,1.342392,103.68057513,43.50229643909709,2177.033000000003,0,30,30.336754420432214
02:48:44,37.76,28.05,3.18,1.3424056,103.68055823,43.42183715127767,2238.468000000003,0,30,30.765248799231504
02:48:45,37.765,28.04,2.48,1.34241888,103.68054365,43.35746972102213,2268.627000000003,0,33,30.69862425447316
02:48:46,37.8,28.03,2.58,1.34243354,103.68052857,43.3059757768177,2268.627000000003,0,33,30.69862425447316
02:48:47,37.77,28.05,2.58,1.34244695,103.68051483,43.264780621454165,2328.945000000003,0,34,29.88845025125628
02:48:49,37.72,28.07,3.18,1.34246035,103.68050209,43.23182449716333,2359.104000000003,0,34,29.925209302325584
02:48:50,37.735,28.07,2.99,1.34248711,103.68048194,43.205459597730666,2388.146000000003,0,34,28.45838086124402
02:48:51,37.72,28.09,3.46,1.34250582,103.68046967,43.18436767818453,2416.071000000003,0,34,28.06202158979392
02:48:52,37.725,28.09,3.69,1.34252524,103.68045489,43.167494142547625,2442.879000000003,0,29,27.67277419354839
02:48:53,37.715,28.11,3.24,1.34254977,103.68043586,43.1739953140381,2471.921000000003,0,29,28.08216052880075
02:48:54,37.715,28.12,3.81,1.34256611,103.68042341,43.179196251230486,2499.846000000003,0,35,28.34013875123885
02:48:55,37.72,28.13,3.52,1.34258194,103.6804086,43.1833570009844,2528.888000000003,0,35,28.70560617760617
02:48:56,37.72,28.15,3.41,1.34259815,103.6803922,43.18668560078752,2588.089000000003,0,35,29.925209302325584
02:48:57,37.72,28.16,3.41,1.34261635,103.68037572,43.18934848063002,2588.089000000003,0,35,29.925209302325584
02:48:58,37.735,28.17,3.39,1.34263591,103.68036066,43.191478784504014,2648.407000000004,0,34,30.129576585365847
02:49:00,37.73,28.21,3.25,1.3426563,103.68034437,43.19318302760321,2678.5660000000034,0,34,30.247616062683644
02:49:01,37.72,28.23,3.07,1.34268758,103.68031479,43.194546422082574,2708.7250000000035,0,31,30.30698331697743
02:49:02,37.76,28.25,3.34,1.342708,103.6802944,43.19563713766606,2736.650000000004,0,31,28.368253968253967
02:49:03,37.71,28.27,3.44,1.34271896,103.68027864,43.19650971013285,2767.926000000004,0,26,30.79483076923077
02:49:04,37.79,28.3,2.7,1.34272683,103.68026381,43.19720776810628,2767.926000000004,0,26,30.79483076923077
02:49:05,37.765,28.32,2.44,1.34273641,103.68024828,43.19776621448503,2829.3610000000035,0,26,30.41464767331434
02:49:06,37.74,28.34,2.69,1.34274872,103.6802327,43.19821297158803,2859.520000000004,0,28,30.60734985133796
02:49:07,37.77,28.36,2.64,1.34276366,103.68021614,43.19857037727042,2890.7960000000035,0,28,30.82446968238691
02:49:08,37.8,28.37,2.57,1.34278073,103.68019971,43.19885630181634,2922.0720000000038,0,26,31.276
02:49:09,37.78,28.38,2.27,1.34280335,103.68018474,43.199085041453074,2952.2310000000034,0,26,31.038006030150758
02:49:10,37.765,28.39,2.94,1.34283315,103.68017927,43.19926803316246,2983.5070000000032,0,25,30.854165703275527
02:49:11,37.74,28.4,2.66,1.34285655,103.68018481,43.179414426529966,3044.942000000003,0,25,31.245486829268287
02:49:12,37.79,28.39,3.59,1.34288331,103.68020544,43.163531541223975,3044.942000000003,0,25,31.245486829268287
02:49:13,37.795,28.4,1.94,1.34289394,103.68021805,43.15082523297918,3107.494000000003,0,26,30.82446968238691
02:49:14,37.82,28.41,2.24,1.34290559,103.68024457,43.14066018638334,3137.653000000003,0,26,30.882816
02:49:15,37.765,28.41,2.5,1.34290808,103.68026603,43.13252814910668,3137.653000000003,0,26,30.882816
02:49:16,37.79,28.4,2.45,1.3429061,103.68028153,43.12602251928534,3168.929000000003,0,32,30.55975572519084
